Tabelle: 12711-0008
Migration between Germany and foreign countries:;;;;;;;;;
Germany, years, nationality, countries of origin /;;;;;;;;;
destination;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;
;Germans;;;;;;Foreigners;;;;;;Total;;;;;
;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
Finland;159;e;301;e;-142;e;2045;e;2079;e;-34;e;2204;e;2380;e;-176;e
France;5061;e;6864;e;-1803;e;13072;e;12196;e;876;e;18133;e;19060;e;-927;e
Croatia;267;e;342;e;-75;e;11230;e;11534;e;-304;e;11497;e;11876;e;-379;e
Slovenia;61;e;120;e;-59;e;1992;e;2226;e;-234;e;2053;e;2346;e;-293;e
Greece;883;e;1040;e;-157;e;12076;e;17066;e;-4990;e;12959;e;18106;e;-5147;e
Ireland;587;e;774;e;-187;e;1459;e;1641;e;-182;e;2046;e;2415;e;-369;e
Italy;2531;e;3083;e;-552;e;21171;e;30719;e;-9548;e;23702;e;33802;e;-10100;e
Latvia;98;e;59;e;39;e;1868;e;1415;e;453;e;1966;e;1474;e;492;e
Lithuania;264;e;56;e;208;e;3193;e;1955;e;1238;e;3457;e;2011;e;1446;e
Luxembourg;518;e;735;e;-217;e;1210;e;775;e;435;e;1728;e;1510;e;218;e
Malta;51;e;67;e;-16;e;47;e;53;e;-6;e;98;e;120;e;-22;e
Netherlands;3576;e;3345;e;231;e;9439;e;5271;e;4168;e;13015;e;8616;e;4399;e
Austria;3856;e;6903;e;-3047;e;9600;e;9073;e;527;e;13456;e;15976;e;-2520;e
Poland;16904;e;10262;e;6642;e;88020;e;72648;e;15372;e;104924;e;82910;e;22014;e
Portugal;768;e;845;e;-77;e;6931;e;8035;e;-1104;e;7699;e;8880;e;-1181;e
Romania;600;e;415;e;185;e;23456;e;18909;e;4547;e;24056;e;19324;e;4732;e
Slovakia;118;e;124;e;-6;e;10566;e;9422;e;1144;e;10684;e;9546;e;1138;e
Sweden;534;e;1231;e;-697;e;2863;e;2555;e;308;e;3397;e;3786;e;-389;e
Spain;6156;e;6769;e;-613;e;8491;e;9467;e;-976;e;14647;e;16236;e;-1589;e
Czechia;702;e;710;e;-8;e;8556;e;8199;e;357;e;9258;e;8909;e;349;e
Hungary;709;e;653;e;56;e;14256;e;14776;e;-520;e;14965;e;15429;e;-464;e
Cyprus;126;e;144;e;-18;e;134;e;162;e;-28;e;260;e;306;e;-46;e
2004;;;;;;;;;;;;;;;;;;
Belgium;1893;e;2584;e;-691;e;2456;e;2352;e;104;e;4349;e;4936;e;-587;e
Bulgaria;153;e;148;e;5;e;11431;e;9951;e;1480;e;11584;e;10099;e;1485;e
Denmark;504;e;735;e;-231;e;2174;e;2327;e;-153;e;2678;e;3062;e;-384;e
Estonia;82;e;64;e;18;e;777;e;724;e;53;e;859;e;788;e;71;e
Finland;182;e;333;e;-151;e;2047;e;2363;e;-316;e;2229;e;2696;e;-467;e
France;5159;e;7270;e;-2111;e;13210;e;13576;e;-366;e;18369;e;20846;e;-2477;e
Croatia;234;e;338;e;-104;e;10118;e;11902;e;-1784;e;10352;e;12240;e;-1888;e
Slovenia;90;e;191;e;-101;e;2321;e;2337;e;-16;e;2411;e;2528;e;-117;e
Greece;783;e;1165;e;-382;e;10100;e;19352;e;-9252;e;10883;e;20517;e;-9634;e
Ireland;497;e;883;e;-386;e;1158;e;1606;e;-448;e;1655;e;2489;e;-834;e
Italy;2421;e;3448;e;-1027;e;19001;e;32825;e;-13824;e;21422;e;36273;e;-14851;e
Latvia;104;e;74;e;30;e;2315;e;1621;e;694;e;2419;e;1695;e;724;e
Lithuania;227;e;106;e;121;e;4737;e;2250;e;2487;e;4964;e;2356;e;2608;e
Luxembourg;571;e;732;e;-161;e;1416;e;938;e;478;e;1987;e;1670;e;317;e
Malta;36;e;67;e;-31;e;48;e;63;e;-15;e;84;e;130;e;-46;e
Netherlands;3647;e;3571;e;76;e;9379;e;6210;e;3169;e;13026;e;9781;e;3245;e
Austria;4027;e;8532;e;-4505;e;9439;e;9996;e;-557;e;13466;e;18528;e;-5062;e
Poland;14654;e;9658;e;4996;e;124629;e;94880;e;29749;e;139283;e;104538;e;34745;e
Portugal;742;e;816;e;-74;e;5483;e;8282;e;-2799;e;6225;e;9098;e;-2873;e
Romania;586;e;463;e;123;e;23239;e;19376;e;3863;e;23825;e;19839;e;3986;e
Slovakia;138;e;181;e;-43;e;11582;e;10067;e;1515;e;11720;e;10248;e;1472;e
Sweden;570;e;1327;e;-757;e;2914;e;2841;e;73;e;3484;e;4168;e;-684;e
Spain;5922;e;7196;e;-1274;e;8484;e;10814;e;-2330;e;14406;e;18010;e;-3604;e
Czechia;738;e;919;e;-181;e;8973;e;8160;e;813;e;9711;e;9079;e;632;e
Hungary;621;e;903;e;-282;e;17369;e;16254;e;1115;e;17990;e;17157;e;833;e
Cyprus;113;e;152;e;-39;e;144;e;150;e;-6;e;257;e;302;e;-45;e
2005;;;;;;;;;;;;;;;;;;
Belgium;2033;e;2491;e;-458;e;2234;e;1911;e;323;e;4267;e;4402;e;-135;e
Bulgaria;154;e;178;e;-24;e;8868;e;8721;e;147;e;9022;e;8899;e;123;e
Denmark;547;e;889;e;-342;e;2122;e;1805;e;317;e;2669;e;2694;e;-25;e
Estonia;76;e;69;e;7;e;697;e;453;e;244;e;773;e;522;e;251;e
Finland;188;e;327;e;-139;e;1981;e;1845;e;136;e;2169;e;2172;e;-3;e
France;5593;e;7316;e;-1723;e;13010;e;10641;e;2369;e;18603;e;17957;e;646;e
Croatia;252;e;378;e;-126;e;8956;e;10711;e;-1755;e;9208;e;11089;e;-1881;e
Slovenia;71;e;195;e;-124;e;1442;e;1561;e;-119;e;1513;e;1756;e;-243;e
Greece;772;e;1236;e;-464;e;8920;e;15648;e;-6728;e;9692;e;16884;e;-7192;e
Ireland;506;e;1017;e;-511;e;1045;e;1024;e;21;e;1551;e;2041;e;-490;e
